provide a forum for@R@	provide the opportunity for@R@
be opposed by	oppose@R@
believe be@R@	have be@R@
cut up@R@	ignore@R@
come	arise
be answered in	be evaluated in
learn on@R@	watch on@R@
be allowed by@R@	allow
glean from@R@	gather from@R@
take away@R@	suppress@R@
want to study@R@	want to learn@R@
yield	be borne by@R@
be read@R@	read through@R@
sign up to	sign
solicit	stimulate
list@R@	be a list of@R@
be essential to@R@	be vital to@R@
play like@R@	take on@R@
term@R@	label@R@
kill for@R@	suffer for@R@
dream	remember about
hit on	be hit by@R@
get a job in	work in
sweep@R@	sway@R@
lose interest in	get interested in
ask to@R@	use to@R@
be prepared in	be received in
get interested in	express interest in
have load of@R@	have a ton of@R@
roast	be prepared by@R@
know as	serve as
try for@R@	save for@R@
receive as@R@	have as@R@
see into	stare into
protest@R@	swear@R@
be reduced by@R@	cut down
hang onto@R@	hold on to@R@
stick with	on
proclaim	compliment
disappear into	fall into
be the source of	be the beginning of
suffer from	diagnose with
free up	wipe out
be reviewed in@R@	be answered in@R@
confiscate	conquer
be posted at@R@	be published on@R@
exist as	grow as
pause for	be quiet for
heat	roast
strive for	seek for
be ruled by@R@	rule on
plead	plead for
be explored in@R@	be examined in@R@
take the lead in	lead in
present for@R@	appear for@R@
need to work on@R@	go to work on@R@
be cheaper than@R@	be better than@R@
be expelled from	be forced to leave
bet	suppose
harden	strengthen
dont use@R@	be used by
be written on@R@	be printed on@R@
try to make	attempt to make
be glad to have	be excited to have
run at	go at
rain@R@	pour@R@
function as@R@	grow as@R@
go to get	decide to get
tend to use	like to use
exist between	take place between
happen upon@R@	collide with@R@
have fun at	have a great time at
descend from	come in from
leave from@R@	take off from@R@
need to start	need to build
fill	fulfill
wont	dont
be rewarded for@R@	be paid for@R@
be quoted in@R@	be in@R@
use a combination of	be possible to use
look under	go under
be required by@R@	scream for
fail to meet	fall short of
be posted	be published in
consider as	perceive as
wear in@R@	find out in@R@
be drafted by	begin write@R@
be targeted by	put@R@
call on	say on
know more about@R@	know a lot about@R@
occur@R@	arrive@R@
argue about@R@	argue@R@
fit	adjust to
stick with	rest with
spell out@R@	write about@R@
be distracted by@R@	distract
look great in	appear in
cherish@R@	enjoy@R@
correspond with@R@	coincide with@R@
function in	belong in
want to know more about@R@	like to know more about@R@
like for@R@	wish@R@
move on	hop on
be brought in	be filed in
consider get@R@	want to purchase@R@
execute@R@	carry out@R@
be put	be set up
desire for@R@	like@R@
end on	on
be a compilation of	be a bunch of
go to visit@R@	go find@R@
have a need for	need some kind of
kidnap	be abused by@R@
decide to stay in@R@	go on in@R@
be a problem in@R@	be the case with@R@
choose from@R@	require from@R@
be determined in@R@	be selected from@R@
come to find	go to find
remember see	remember watch
attain	reach
plan to get	hope to get
enjoy watch	watch a lot of
be suggested to@R@	be to@R@
become interested in	show interest in
learn for	watch for
log on@R@	access to@R@
last up to@R@	get to take@R@
purchase from@R@	have from@R@
move for	hold out for
take a couple of@R@	have a pair of@R@
lie between@R@	take place from@R@
come to get@R@	gonna get@R@
be told of	be told to
remember be	mean to be
want to eat	try to eat
do to make	want to make
be seen at	be taken at
fail to meet@R@	come of@R@
lay@R@	be put by
perform as@R@	come out in@R@
work fine for	work for
make reference to	name
be approved in@R@	be passed in@R@
weaken	undermine
live under@R@	have under@R@
search in@R@	look for@R@
be required at@R@	be taken at@R@
move along@R@	move down@R@
be less of@R@	be a of@R@
hang out on@R@	see this on@R@
be threatened by	threaten@R@
be an issue in@R@	be the case with@R@
be the basis for	be the foundation for
assign	select
start write	begin write
walk up to	walk over to
consider use@R@	begin to use@R@
hope for	make plan for
have question about@R@	have about@R@
shoot with@R@	use with@R@
be mixed with@R@	mix with@R@
catch in@R@	get caught in@R@
appear as@R@	come out on@R@
release	give up
continue to@R@	bind to@R@
play a role in@R@	play a key role in@R@
carry to	creep to
vote on@R@	vote for@R@
find of	learn of
conceal	be hidden by@R@
be sent for	be submitted for
be played on	be played with
hold onto	hang on to
rely on@R@	be reliant on@R@
be the daughter of@R@	be the child of@R@
be ready to do@R@	get to do@R@
be greeted with	be treated to
be classed as	be described as
be asked	type in
go on inside	look inside
have a need for@R@	need some kind of@R@
get paid@R@	be in@R@
host	stage
feel sorry for	have for
model	emulate
be mentioned by@R@	be named by@R@
operate out of	work of
instruct@R@	be taught by
pronounce	restrict
get any of	try one of
be gone by	sound like@R@
play	be played by@R@
be leader in@R@	in@R@
include a lot of@R@	be loaded with@R@
become a part of@R@	become part of@R@
be inspired by	remind@R@
keep ask@R@	look to@R@
get ton of	get a lot of
stand	stand for
be discussed with	be explained to
consider get@R@	think about get@R@
be published as	be intended as
log on@R@	be given access to@R@
be addressed by	be handled by
enlist	procure
have a negative effect on	have a huge impact on
build to@R@	come to@R@
be thousand of@R@	be hundred of@R@
exist	survive
be asked for@R@	type in@R@
imitate	mimic
drink from@R@	in@R@
thrill	itch
want to pay@R@	need to pay@R@
want in	expect in
enjoy take@R@	love look at@R@
practice with@R@	with@R@
welcome to	be welcome at
need to increase	want to have
bust@R@	break up@R@
glance over at@R@	stare at@R@
bet	support
be limited by	restrict@R@
need to create	need to write
plead for	appeal
paint	paint in
be sold for	advertise for
be paid in	be in
admire	look up to
drink from	drink
have an interest in	show interest in
enlarge@R@	increase@R@
be rare for	be harder for
try for	check for
rely more on@R@	depend upon@R@
need to adjust@R@	need to fix@R@
work on get	begin work on
have of	have load of
hope for@R@	for@R@
please hesitate to contact@R@	e-mail@R@
tend to use@R@	choose to use@R@
land at	land
migrate to@R@	grow to@R@
follow through on@R@	follow up@R@
be among@R@	be two of@R@
transfer to	be married to
match with@R@	fit to@R@
start off as@R@	have as@R@
dodge@R@	avoid@R@
accompany@R@	come with@R@
enjoy the benefit of	get the benefit of
spell	write
be dependent upon@R@	count on@R@
inhale	give off
be formed in	be established in
serve at	go at
be dependent upon@R@	vary depend on@R@
protect against	help keep
protect against	reduce the risk of
build up@R@	create@R@
utilise@R@	be implemented by
resign	relinquish
be called by@R@	receive a call from
approve	approve of
behave in@R@	in@R@
succeed to@R@	go to@R@
be designed@R@	be produced@R@
give at	present at
go on to become	need to become
need on	enjoy on
digest@R@	defy@R@
massage	stir up
be great at	be good in
be the first time in	be the first in
hop on@R@	drive on@R@
suspend	be put by@R@
become like	appear like
suck@R@	blow@R@
spark	be triggered by@R@
be secured to	be mounted on
love the smell of@R@	love look at@R@
be measured in@R@	be defined in@R@
be sure to	prefer to
be dealt with in@R@	be answered in@R@
wait for	await
serve for@R@	dance for@R@
prepare@R@	grill@R@
be enrolled at@R@	be a student at@R@
keep get@R@	try to get@R@
injure@R@	hurt@R@
please enter	please add
clear up@R@	be clear of@R@
offer a selection of	have a choice of
hold in	bear in
emphasise@R@	emphasize@R@
reduce the number of	have a limited number of
use with	try with
trouble@R@	worry@R@
understand the nature of@R@	understand the concept of@R@
captivate	fascinate
remain true to@R@	stay true to@R@
warn of@R@	tell of@R@
be asked for@R@	be asked@R@
call from@R@	hail from@R@
be put by@R@	put
stamp	be moved by@R@
deploy@R@	put@R@
fail to see@R@	begin to see@R@
be gone by@R@	sound
be delivered by	be given by
allow access to	be accessed by@R@
have a lot of	have a ton of
illuminate	brighten
be processed in@R@	be supplied in@R@
find any of@R@	have one of@R@
suggest@R@	be suggested by
be abandoned by@R@	give up
strike in	hit in
change to@R@	convince@R@
concern	worry
prove in	try in
astound@R@	amaze@R@
click	click on
be exhibited in	show in
nod to@R@	wave to@R@
be glued to	be stuck to
be collected by	take in@R@
be required at@R@	be seen at@R@
head to@R@	head out to@R@
interpret	translate
be forced to@R@	hope to@R@
lay down on@R@	stand on@R@
be to put	be to have
point out to@R@	to@R@
endanger@R@	be affected by
nourish@R@	encourage@R@
know much about@R@	like to know more about@R@
treasure	cherish
exhibit@R@	display@R@
make during	use during
shine in@R@	wipe out@R@
pay close attention to	pay no attention to
give a lot of	create a lot of
be handled by	cover@R@
perform to	show to
go under@R@	live under@R@
be known for	be renowned for
wander through@R@	progress through@R@
didnt@R@	don't@R@
equate	break down
spend some time with@R@	have with@R@
be treated for@R@	be diagnosed with@R@
be accepted at	be made at
clap	throw up
be updated on	be produced
retake	take over
be lined with@R@	cover
involve in	in
encounter in	hear in
be closed in@R@	be open on@R@
assemble	amass
be the duty of	be the purpose of
come from	do come from
be treated for@R@	suffer from@R@
be called to@R@	be dispatched to@R@
reach the top of	be top of
shield@R@	be opposed by
hear at@R@	receive at@R@
relish@R@	be enjoyed by
be compensated for	be paid for
need to consider@R@	want to think about@R@
be valuable in@R@	be significant in@R@
be dependant on	count on
dial@R@	be determined by
toss in	discard
have some sort of	have some form of
be to bring	be to have
be implemented in	be applied in
arrive for@R@	come in for@R@
mourn@R@	grieve@R@
conduct	be conducted by@R@
play like	love play
be given by@R@	give
ask one of	have two of
lay down on@R@	sit down on@R@
opt out of	have a choice of
be nice to see@R@	be to find@R@
have a right to	have the right to
desire for@R@	for@R@
take to	try to
heed	be followed by@R@
learn all about	find out
facilitate@R@	perfect@R@
become interested in@R@	have an interest in@R@
promise@R@	tell@R@
be received from	be taken from
be expelled from@R@	be driven from@R@
locate in@R@	compensate@R@
communicate with@R@	speak with@R@
be those of@R@	be the opinion of@R@
see a lot of@R@	see plenty of@R@
be to put	be to bring
damn	curse
want to buy@R@	plan to buy@R@
arise from@R@	originate from@R@
need to bring	want to use
be geared to	be targeted to
have a limited number of@R@	reduce the number of@R@
sound	sound to
don see@R@	be seen by
be an integral part of@R@	be an important aspect of@R@
have any problem with	have with
be about to	be ready to
excuse	warrant
start go to	remember go to
use the power of	allow the use of
come look for	look for
be filed with@R@	be brought in@R@
be the work of	be master of
work fine for	work with
be committed to@R@	be intended to provide@R@
hurry@R@	accelerate@R@
see the need for@R@	don need@R@
be held accountable for	accept responsibility for
start out@R@	take up@R@
have tie to	link to
like to add@R@	try to add@R@
raise in	produce in
be carried out on@R@	be conducted on@R@
boil down to@R@	come down to@R@
feel from@R@	find from@R@
write from	say from
discuss this with@R@	speak with@R@
be kept on	be seen on
pardon@R@	explain@R@
have nothing against	have against
enlarge	expand
make with	enjoy with
forget	lose
work on	take on
enter on	participate on
sell out@R@	shut down@R@
be the duty of	be the aim of
be part of	be the rest of
jam@R@	drown@R@
be lack of	lack
be a variety of	be the sort of
want to enjoy@R@	need to read@R@
be held from@R@	be scheduled for@R@
make over	work over
understand the value of@R@	recognize the importance of@R@
become involved in@R@	become involved with@R@
be divided in@R@	split into@R@
be the aim of@R@	be the intention of@R@
stun	be surprised by@R@
teem with@R@	be alive with@R@
before@R@	start before@R@
be nice to see	be excited to see
be supposed to go to	be to go to
encourage the use of	start use
be planned in	be performed in
happen in	fit in
be intended to provide@R@	be to support@R@
be about to	be willing to
freeze	suspend
prosecute	pursue
take for	decide for
take around@R@	last about@R@
depart	from
make plan for@R@	be designed by
redesign	adapt
be completed by@R@	fill out
be done for@R@	be done by@R@
depart	deviate from
try to follow@R@	have a good understanding of@R@
narrow	shove
tease@R@	torture@R@
allow to@R@	run to@R@
have lot of	have a wealth of
teach for@R@	act for@R@
be put in	outline in
play a major role in	play an important role in
run at	operate at
be needed by@R@	be by@R@
compile a list of	get a list of
clear up@R@	explain@R@
have contact with	try to reach
have a lot of	have year of
have contact with	need to contact
move for	fly for
provide at	present at
submit to	indicate to
engage@R@	be implemented by
be sent by@R@	send out
spread throughout@R@	travel around@R@
be checked for	be screened for
pose a threat to	be dangerous for
preach in	communicate in
spread throughout@R@	turn around@R@
need to protect@R@	want to keep@R@
arrive at	land at
come before@R@	go before@R@
start for	begin for
be manufactured in	be assembled in
jam	clog
last up to@R@	start take@R@
